iter	Passed	Remaining
0	4	4633
1	8	4308
2	12	4278
3	16	4228
4	21	4207
5	25	4196
6	30	4302
7	35	4368
8	39	4396
9	44	4442
10	49	4484
11	54	4525
12	59	4541
13	64	4544
14	69	4567
15	74	4573
16	79	4596
17	84	4599
18	89	4606
19	93	4604
20	98	4596
21	103	4610
22	108	4606
23	113	4603
24	118	4609
25	122	4607
26	127	4584
27	134	4673
28	139	4679
29	144	4676
30	148	4657
31	154	4658
32	158	4652
33	163	4643
34	168	4636
35	172	4625
36	177	4620
37	182	4624
38	187	4614
39	192	4609
40	196	4602
41	201	4600
42	207	4609
43	211	4601
44	216	4587
45	221	4586
46	226	4588
47	231	4591
48	237	4607
49	241	4589
50	246	4590
51	251	4577
52	256	4579
53	261	4574
54	266	4571
55	271	4571
56	275	4559
57	280	4560
58	285	4552
59	290	4553
60	295	4549
61	300	4539
62	304	4529
63	309	4520
64	313	4508
65	317	4493
66	322	4484
67	328	4499
68	333	4498
69	340	4525
70	345	4517
71	350	4512
72	354	4503
73	359	4503
74	364	4493
75	369	4489
76	373	4479
77	377	4467
78	382	4460
79	387	4453
80	391	4442
81	395	4428
82	400	4423
83	404	4415
84	409	4407
85	413	4396
86	418	4390
87	423	4393
88	430	4403
89	435	4402
90	440	4403
91	445	4394
92	450	4392
93	455	4388
94	459	4380
95	464	4374
96	469	4369
97	473	4362
98	478	4357
99	483	4350
100	488	4344
101	493	4341
102	498	4338
103	502	4331
104	507	4329
105	512	4324
106	517	4318
107	522	4315
108	527	4311
109	532	4307
110	537	4300
111	541	4296
112	546	4292
113	551	4285
114	556	4283
115	561	4276
116	566	4273
117	570	4267
118	575	4260
119	580	4254
120	585	4253
121	589	4245
122	594	4238
123	599	4233
124	603	4226
125	608	4221
126	613	4215
127	620	4227
128	628	4241
129	636	4257
130	641	4258
131	647	4259
132	653	4261
133	659	4261
134	664	4254
135	668	4249
136	673	4242
137	678	4236
138	683	4232
139	687	4226
140	692	4219
141	697	4214
142	704	4219
143	708	4211
144	713	4204
145	718	4201
146	725	4210
147	730	4205
148	735	4200
149	740	4196
150	745	4192
151	750	4188
152	755	4180
153	760	4175
154	764	4168
155	769	4161
156	773	4155
157	778	4150
158	783	4146
159	788	4141
160	793	4135
161	798	4130
162	803	4125
163	807	4117
164	812	4110
165	817	4106
166	822	4102
167	827	4098
168	832	4095
169	837	4086
170	841	4080
171	846	4072
172	850	4066
173	855	4059
174	859	4052
175	864	4047
176	869	4042
177	874	4037
178	879	4033
179	883	4026
180	889	4022
181	894	4018
182	899	4017
183	904	4011
184	909	4007
185	915	4006
186	922	4008
187	927	4008
188	933	4006
189	939	4003
190	944	3999
191	950	4000
192	955	3995
193	960	3988
194	965	3986
195	970	3980
196	975	3976
197	980	3972
198	985	3966
199	990	3961
200	995	3957
201	1000	3950
202	1004	3943
203	1010	3943
204	1016	3942
205	1021	3936
206	1026	3932
207	1031	3929
208	1037	3925
209	1041	3919
210	1046	3915
211	1052	3911
212	1056	3905
213	1061	3897
214	1065	3891
215	1070	3885
216	1075	3879
217	1079	3873
218	1084	3867
219	1089	3862
220	1093	3855
221	1098	3849
222	1103	3844
223	1108	3840
224	1114	3837
225	1119	3832
226	1123	3826
227	1128	3820
228	1133	3814
229	1138	3810
230	1143	3805
231	1148	3802
232	1153	3795
233	1157	3789
234	1162	3783
235	1167	3778
236	1172	3773
237	1177	3769
238	1182	3764
239	1187	3760
240	1192	3754
241	1196	3748
242	1201	3744
243	1207	3741
244	1212	3737
245	1217	3731
246	1222	3726
247	1227	3720
248	1231	3715
249	1236	3710
250	1241	3705
251	1246	3699
252	1251	3693
253	1256	3689
254	1260	3683
255	1265	3678
256	1270	3672
257	1275	3668
258	1279	3661
259	1284	3655
260	1289	3649
261	1294	3645
262	1299	3640
263	1304	3635
264	1311	3636
265	1315	3631
266	1320	3625
267	1325	3620
268	1330	3614
269	1335	3610
270	1340	3604
271	1344	3598
272	1349	3594
273	1354	3588
274	1358	3581
275	1362	3574
276	1367	3568
277	1371	3562
278	1375	3555
279	1380	3550
280	1385	3545
281	1390	3539
282	1394	3532
283	1399	3527
284	1405	3525
285	1410	3520
286	1414	3514
287	1418	3508
288	1423	3503
289	1428	3498
290	1433	3493
291	1439	3489
292	1443	3483
293	1449	3480
294	1454	3475
295	1458	3468
296	1462	3462
297	1467	3456
298	1471	3449
299	1476	3444
300	1481	3439
301	1486	3434
302	1490	3428
303	1494	3422
304	1499	3416
305	1504	3411
306	1510	3409
307	1515	3405
308	1521	3401
309	1526	3397
310	1530	3391
311	1535	3384
312	1539	3379
313	1543	3373
314	1548	3367
315	1553	3362
316	1558	3357
317	1563	3352
318	1567	3347
319	1572	3341
320	1576	3334
321	1580	3328
322	1585	3322
323	1589	3316
324	1594	3311
325	1598	3305
326	1605	3303
